,PASE
Penn,-0.23532388663967607
Penn St.,0.04605263157894743
Pepperdine,-0.2659774436090225
Pittsburgh,-0.4667590027700831
Portland,-0.1578947368421052
Portland St.,-0.12499999999999994
Prairie View A&M,-0.006578947368421
Princeton,-0.22258771929824558
Providence,-0.040485829959514115
Purdue,-0.3323502722323049
Radford,0.3267543859649123
Rhode Island,0.481203007518797
Richmond,0.3538011695906433
Rider,-0.049342105263157854
Robert Morris,0.11732456140350882
Rutgers,-0.36184210526315785
SIU Edwardsville,-0.0921052631578947
SMU,-0.5223684210526315
Saint Joseph's,-0.1439144736842105
Saint Louis,-0.1299342105263158
Saint Mary's,-0.22607655502392338
Saint Peter's,0.5378289473684211
Sam Houston St.,-0.12499999999999994
Samford,-0.16447368421052624
San Diego,-0.021929824561403466
San Diego St.,-0.393796992481203
San Francisco,-0.381578947368421
San Jose St.,-0.006578947368421
Santa Clara,0.1759868421052632
Seton Hall,0.1311090225563911
Siena,0.33834586466165417
South Alabama,-0.23245614035087714
South Carolina,-0.4131578947368421
South Carolina St.,-0.05789473684210522
South Dakota St.,-0.33157894736842103
South Florida,0.2543859649122807
Southeast Missouri St.,-0.2434210526315789
Southeastern Louisiana,-0.0921052631578947
Southern,0.30674342105263164
Southern Illinois,-0.1396198830409357
Southern Miss,-0.4868421052631579
Southern Utah,-0.1578947368421052
St. Bonaventure,-0.22039473684210525
St. Francis PA,-0.0921052631578947
St. John's,-0.3402255639097744
Stanford,-0.2652138157894737
Stephen F. Austin,0.10263157894736848
Stetson,-0.0921052631578947
Stony Brook,-0.2434210526315789
Syracuse,0.3881578947368421
TCU,-0.6394736842105264
Temple,0.02917620137299773
Tennessee,-0.27708978328173367
Tennessee St.,-0.12499999999999994
Texas,-0.10843920145190557
Texas A&M,0.1564327485380117
Texas A&M Corpus Chris,-0.0921052631578947
Texas Southern,0.3174342105263158
Texas St.,-0.049342105263157854
Texas Tech,0.15485829959514172
Towson,-0.006578947368421
Troy,-0.1359649122807017
Tulane,0.3925438596491228
Tulsa,0.25274122807017546
UAB,-0.08911483253588515
UC Davis,0.993421052631579
UC Irvine,0.25657894736842113
UC Santa Barbara,-0.18233082706766915
UCF,0.08662280701754388
UCLA,0.3679511278195489
UMBC,0.45065789473684215
UNC Asheville,0.5763157894736842
UNC Greensboro,-0.14638157894736836
UNC Wilmington,-0.21710526315789472
UNLV,0.07412280701754387
USC,-0.05263157894736836
UT Arlington,-0.006578947368421
UTEP,-0.11776315789473686
UTSA,0.20559210526315794
Umass Lowell,-0.1578947368421052
Utah,0.18133223684210528
Utah St.,-0.3837719298245614
Utah Valley,-0.506578947368421
VCU,-0.0737781954887218
Valparaiso,0.02850877192982458
Vanderbilt,-0.2768640350877193
Vermont,0.1143092105263158
Villanova,0.21736842105263166
Virginia,-0.42631578947368415
Virginia Tech,-0.34795321637426896
Wagner,-0.0921052631578947
Wake Forest,-0.36184210526315785
Washington,-0.06638755980861243
Washington St.,-0.32456140350877194
Weber St.,0.16447368421052636
West Virginia,0.16410818713450293
Western Carolina,-0.006578947368421
Western Kentucky,0.29002192982456143
Western Michigan,-0.14473684210526316
Wichita St.,0.07416267942583733
Winthrop,-0.11695906432748535
Wisconsin,0.2368421052631579
Wofford,-0.17499999999999996
Wright St.,0.1677631578947369
Wyoming,0.11842105263157895
Xavier,0.09008097165991903
Yale,0.059210526315789526
